ID,appellation,alternativeNames,gender,verbaleDating,wikidata_id,gnd_id,occupation,resource_urls
d70fea96-e847-45c4-906f-107eb284bccd,"Grumbach, Wilhelm von",,MALE,,,,commissioner,
3ffd1eb9-dab0-4c79-9d05-274b51ef9591,"Neydecker (Neudecker), Georg",,MALE,,,,commissioner,
3a05a0a2-a788-421b-9822-9783de8fa56d,"Moritz, Sachsen-Zeitz, Herzog",,MALE,,Q565445,102305889,commissioner,
2aecfffd-068d-4f09-95b2-ef5e889dc9ea,"Richter, Johann Moritz, der Jüngere",,MALE,,Q1695615,125845634,architect;builder,
0ad33f9b-cac3-4b56-a30b-f1a7e0b0c8be,"Richter, Johann Moritz, der Ältere",,MALE,,Q1285159,103120211,architect,
300c83e6-2c60-4598-8b59-4cbb93c7dde4,"Dorothea Maria, Sachsen-Zeitz, Herzogin",,FEMALE,,Q324837,121465675,,
f600535f-671d-4f35-8dbb-ed27e15a8e80,"Richter, Wilhelm",,MALE,,Q106548550,1186100303,painter,
2b57d8e5-1272-4394-a043-f4372097507d,"Hellbrunn, Johann Georg",,MALE,,Q17123824,130210455,construction manager,
30119eeb-e043-4ea0-a26b-a7489956d7fd,"Seckendorff, Veit Ludwig von",,MALE,,Q531628,118760343,commissioner,
20b9b15d-3f58-42b0-acd8-92e3969a272e,"Seckendorff, Friedrich Heinrich von",,MALE,,Q215148,119473798,commissioner,
be9c27d1-006e-4fbc-8034-4e30246b3868,"Kageneck, Johann Friedrich, Graf",,MALE,,,,commissioner,
a660042e-5df6-42f4-bbac-b940a793c876,"Kageneck, Johann Friedrich Fridolin, Reichsgraf",,MALE,,,,commissioner,
767822da-3ff6-4157-b5bf-54093593491d,"Kageneck, Maria Anna Franziska Eleonore, Reichsgräfin",,FEMALE,,,,commissioner,
0b8cbb89-509c-4276-843b-031da3ac038b,"Fechter, Johann Jakob",,MALE,,Q1694803,118864416,architect,
5e55d264-5092-4b79-ba0f-dca48384b282,"Saum, Georg",,MALE,,Q1505822,1012299554,painter,
d1141676-1741-42b2-8e10-c0a3e3040512,"De Groote, Nikolaus",,MALE,,,173357822,commissioner,
9431b304-7695-4019-b60d-31351a73c137,"Groote, Maria Franz Jacob Gabriel de",,MALE,,,172865794,commissioner,
6fedabf0-c5aa-11e9-b229-6b499a37f581,"Velen zu Velen, Hermann Anton Bernhard von",,MALE,,Q61658390,1035173980,commissioner,
8c528040-c5aa-11e9-b229-6b499a37f581,"Picotrius, Peter, der Jüngere",,MALE,,,,architect;construction manager,
a0a8ccc0-c5aa-11e9-b229-6b499a37f581,"Fischer, Casimirus",,MALE,,,,painter,
45d2f7c3-fb6b-4745-8642-cc7b19015982,"Bianchini, Francesco",,MALE,,Q1440942,117590282,template provider,
f8e63b25-2344-4437-8f36-f0f4c4cb2e93,"Merck, Johann Michael",,MALE,,,,plasterer,
20b8672b-9990-4e0c-9470-04f80b41c1fb,"Sartori, Carl Joseph",,MALE,,,,designer;plasterer,
57a1c768-d3ed-41bb-8b93-ceaf1d6ed71d,"Vernet, Claude Joseph",,MALE,,Q315819,118966928,painter,
8756a458-2e8d-4111-9a37-583b4ab4d37a,"Hutten, Johann Philipp Friedrich",,MALE,,,123227976,commissioner,
cb7719f9-11a9-486f-a849-b2a16eb3a1b8,"Zocha, Karl Friedrich",,MALE,,Q1038156,18944762,architect,
0117645d-63ea-4543-8f3e-60ba72cd3e0a,"Steingruber, Johann David",,MALE,,Q1693214,118798618,architect,
4318e02b-9e1d-4b67-baed-f50189d17bc3,"Gout, Johann Franz",,MALE,,Q53501650,104134368X,painter,
847de3c6-cd10-439c-b52c-253f65e7a9cf,"Hellmuth, Bernhard",,MALE,,,,plasterer,
cc977c23-5b9e-4bb6-b831-4442efb3ab58,"Rüdt Collenberg, Anna Benigna",,FEMALE,,,128605081,commissioner,
862561e6-b06f-47b2-8a7b-0fa85d8dd8ff,"Schwarz, Christoph",,MALE,,Q322029,119369303,painter;template provider,
6537c8e3-cdfc-4352-be51-24e6a852fde5,"Bocksberger, Melchior",,MALE,,,121009084,painter,
0cfe8237-a111-48b5-8fdb-9b1a8b0af220,"Bocksberger, Hans, der Jüngere",,MALE,,,,painter,
51bdf39b-471e-427d-82c5-2eeade2ac1d3,"Egkl, Wilhelm","Egckl, Wilhelm",MALE,,,129272612,architect,
d6608d2b-d547-412d-a156-f6336a51b181,"Rottenhammer, Hans",,MALE,,Q559004,118858955,painter,
c86a4e01-85d1-4c6a-a61c-a5b2d90e00c5,"Hopffe, Johannes",,MALE,,Q20051037,103490745X,artist;painter,
b4d28023-0b10-4fde-88b6-cf41ad763f79,"Boten, Anton",,MALE,,Q15783658,1034661272,painter,
628961bf-53df-46f7-90ac-cdd178c8e9f0,"Gärtner, Christoph",,MALE,,Q46998382,1034741195,painter,
9d41ba88-b0a4-4d6a-83fd-ad066e93e821,"Ernst III., Schaumburg, Fürst",,MALE,,Q782868,119244292,commissioner,
6732223a-ef5b-4e88-bd15-3b77cb51f3fe,"Kölling, Jacob",,MALE,,Q112448745,1034924966,builder,
5cf47ce1-cda9-4084-8476-27c1241b94d8,"Schrader, Heinrich",,MALE,,,,builder,
e8f2b426-4f30-49da-9d27-245a465939d4,"Heintz, Joseph, d. Ä.",,MALE,,Q535474,118709917,artist;designer;painter,
7250f45a-ef4e-4ea8-824f-abd3fd6d1fb7,"Wolf, Ebert",,MALE,,Q19502173,1035169525,artist,
012f60cb-c2bf-46f9-8ce7-1adcb9805dea,"Wolf, Jonas",,MALE,,Q19502175,1035174189,artist,
96e6be6e-9b04-4098-b017-1c272dfc717e,"Wullekopf, Ernst",,MALE,,Q66439763,119381745,architect,
5a51bca4-064d-4428-ac83-c03014ccccfa,"La Roche, Emanuel","Roche, Emanuel la",MALE,,Q1334702,123993040,architect,
